frame,tid,cls,cx,cy,yaw,vx,vy,heading,hit,speed,moving,score,length,width,is_vehicle
18,16,Car,36.995351,10.022516,-3.042185,-8.678131,-1.082664,-3.017476,1,8.745406,1,24.000000,1.405361,0.483521,0
18,17,Car,27.224022,-26.431239,-2.984697,0.084014,-1.387030,-1.510299,1,1.389572,0,2.000000,1.968863,1.900000,0
18,18,Car,42.660013,6.878107,-7.792002,0.109433,-0.075084,-0.601349,1,0.132714,0,2.000000,0.133398,0.000004,0
18,13,Car,10.976160,27.442309,-1.570796,0.364295,-0.375554,-0.800615,0,0.523213,0,1.000000,0.000000,1.900000,0
19,1,Car,20.475663,-18.014316,-1.077440,7.108767,0.695314,0.097501,1,7.142691,1,51.000000,0.849355,0.390736,1
19,3,Car,14.694468,30.318496,-3.446222,-0.055926,0.016539,2.854063,1,0.058320,0,8.000000,1.131470,0.365947,0
19,4,Car,31.108966,-28.912205,-3.141593,0.028277,-0.175530,-1.411074,1,0.177793,0,1.000000,2.164068,0.180672,0
19,8,Car,40.186751,-9.187860,-0.994276,-0.037156,-0.038599,-2.337151,1,0.053576,0,14.000000,1.188711,0.328836,0
19,13,Car,10.677643,27.636853,-1.570796,-0.031265,-0.101452,-1.869737,1,0.106161,0,1.000000,0.000000,1.900000,0
19,16,Car,35.817336,9.773062,-2.753329,-9.298799,-1.365160,-2.995824,1,9.398474,1,6.000000,0.792316,0.094250,0
19,17,Car,27.201502,-26.332782,-3.141593,-0.000955,-0.735335,-1.572095,1,0.735336,0,1.000000,1.968863,1.900000,0
20,1,Car,21.204145,-17.910842,-1.040695,7.128126,0.732637,0.102421,1,7.165677,1,43.000000,0.737386,0.465628,1
20,3,Car,14.725101,30.325332,-3.039093,-0.016092,0.022237,2.197225,1,0.027449,0,6.000000,2.443155,0.531630,0
20,4,Car,31.077049,-28.684678,-3.141593,-0.008068,0.080836,1.670271,1,0.081237,0,1.000000,2.164068,0.180672,0
20,8,Car,40.166224,-9.193994,-0.965876,-0.055642,-0.041100,-2.505389,1,0.069175,0,19.000000,1.410275,0.405670,0
20,16,Truck,34.953422,9.527539,-2.870552,-9.179820,-1.561767,-2.973076,1,9.311724,1,32.000000,8.553827,5.460888,1
20,17,Car,27.186512,-26.246261,-3.141593,-0.038281,-0.334230,-1.684835,1,0.336415,0,1.000000,1.968863,1.900000,0
20,19,Car,15.457570,34.318859,-1.570796,0.000000,0.000000,,1,0.000000,0,1.000000,0.000000,1.900000,0
20,13,Car,10.674516,27.626708,-1.570796,-0.031265,-0.101452,-1.869737,0,0.106161,0,1.000000,0.000000,1.900000,0
21,1,Car,21.938391,-17.799356,-1.057502,7.151663,0.774611,0.107891,1,7.193491,1,43.000000,0.863463,0.306828,1
21,3,Car,14.722052,30.326995,-3.543713,-0.017674,0.021622,2.256071,1,0.027926,0,4.000000,0.943562,0.102508,0
21,4,Car,31.102917,-28.773541,-2.944535,0.019883,-0.020743,-0.806582,1,0.028733,0,3.000000,1.947453,0.048185,0
21,8,Car,40.158283,-9.196406,-0.976607,-0.058251,-0.039235,-2.548834,1,0.070233,0,17.000000,1.263737,0.273565,0
21,13,Car,10.837777,27.394252,-1.570796,0.141826,-0.332720,-1.167857,1,0.361687,0,1.000000,0.000000,1.900000,0
21,16,Car,33.645106,9.404282,-2.931234,-9.821217,-1.507673,-2.989270,1,9.936266,1,21.000000,1.171082,0.389603,0
21,17,Car,27.116418,-26.121059,-3.141593,-0.186595,0.020799,3.030587,1,0.187751,0,1.000000,1.968863,1.900000,0
21,20,Car,14.149670,39.946415,-1.842698,0.000000,0.000000,,1,0.000000,0,3.000000,0.260594,0.020870,0
21,19,Car,15.457570,34.318859,-1.570796,0.000000,0.000000,,0,0.000000,0,1.000000,0.000000,1.900000,0
22,1,Car,22.666094,-17.678773,-1.017986,7.165437,0.821988,0.114216,1,7.212430,1,38.000000,0.738827,0.341181,0
22,3,Car,14.731134,30.415832,-3.282225,-0.005753,0.116849,1.619994,1,0.116991,0,6.000000,1.349600,0.289277,0
22,4,Car,31.063049,-28.573744,-3.141593,-0.024246,0.192083,1.696357,1,0.193607,0,1.000000,1.947453,0.048185,0
22,8,Car,40.159192,-9.196852,-0.837899,-0.050853,-0.035414,-2.533284,1,0.061969,0,21.000000,1.285433,0.465336,0
22,16,Car,32.368328,9.306727,-2.832625,-10.267275,-1.427120,-3.003481,1,10.365983,1,32.000000,1.340915,0.576965,0
22,17,Car,27.104424,-26.066081,-3.141593,-0.173259,0.126640,2.510408,1,0.214607,0,1.000000,1.968863,1.900000,0
22,19,Car,15.520873,34.268295,-1.570796,0.084093,-0.067171,-0.673986,1,0.107627,0,1.000000,0.000000,1.900000,0
22,20,Car,13.877304,39.718687,-2.121365,-0.225368,-0.188433,-2.445217,1,0.293765,0,4.000000,0.261409,0.092579,0
23,1,Car,23.401756,-17.558099,-1.160002,7.186475,0.864327,0.119696,1,7.238265,1,44.000000,0.961328,0.420818,1
23,3,Car,14.733985,30.542848,-3.395558,-0.001983,0.243761,1.578929,1,0.243769,0,5.000000,1.712013,0.104887,0
23,4,Car,31.073419,-28.594368,-2.967397,-0.010640,0.149726,1.641739,1,0.150104,0,2.000000,1.694767,0.000002,0
23,8,Car,40.147943,-9.201081,-1.006301,-0.057635,-0.036170,-2.581142,1,0.068045,0,18.000000,1.315454,0.635214,0
23,16,Car,31.080594,9.224030,-2.786456,-10.635318,-1.342492,-3.016027,1,10.719714,1,31.000000,1.463913,0.867298,0
